id,user_id,username,email,department,branch,position,has_license,seniority,employment_type,enabled,account_non_expired,account_non_locked,credentials_non_expired,role_id,created_at,updated_at
1,U0000,u0000,u0000@hospital.com,Khoa_Noi,CN_HN,Doctor,True,Senior,FullTime,True,True,True,True,1,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
2,U0001,u0001,u0001@hospital.com,Khoa_Ngoai,CN_HN,Doctor,True,Mid,FullTime,True,True,True,True,1,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
3,U0002,u0002,u0002@hospital.com,Khoa_Noi,CN_HCM,Doctor,True,Junior,FullTime,True,True,True,True,1,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
4,U0003,u0003,u0003@hospital.com,Khoa_Noi,CN_HN,Nurse,True,Senior,FullTime,True,True,True,True,2,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
5,U0004,u0004,u0004@hospital.com,Khoa_Ngoai,CN_HN,Nurse,True,Mid,FullTime,True,True,True,True,2,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
6,U0005,u0005,u0005@hospital.com,Khoa_Noi,CN_HCM,Nurse,True,Junior,FullTime,True,True,True,True,2,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
7,U0006,u0006,u0006@hospital.com,Phong_TiepDon,CN_HN,Receptionist,False,Senior,FullTime,True,True,True,True,3,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
8,U0007,u0007,u0007@hospital.com,Phong_TiepDon,CN_HCM,Receptionist,False,Mid,FullTime,True,True,True,True,3,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
9,U0008,u0008,u0008@hospital.com,Phong_TaiChinh,CN_HN,Cashier,False,Senior,FullTime,True,True,True,True,4,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
10,U0009,u0009,u0009@hospital.com,Phong_TaiChinh,CN_HCM,Cashier,False,Mid,FullTime,True,True,True,True,4,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
11,U0010,u0010,u0010@hospital.com,Phong_NhanSu,CN_HN,HR,False,Senior,FullTime,True,True,True,True,5,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
12,U0011,u0011,u0011@hospital.com,Phong_NhanSu,CN_HCM,HR,False,Mid,FullTime,True,True,True,True,5,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
13,U0012,u0012,u0012@hospital.com,Khoa_Noi,CN_HN,Manager,False,Senior,FullTime,True,True,True,True,6,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
14,U0013,u0013,u0013@hospital.com,Khoa_Ngoai,CN_HCM,Manager,False,Senior,FullTime,True,True,True,True,6,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
15,U0014,u0014,u0014@hospital.com,IT,CN_HN,ITAdmin,False,Senior,FullTime,True,True,True,True,7,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
16,U0015,u0015,u0015@hospital.com,Security,CN_HN,SecurityAdmin,False,Senior,FullTime,True,True,True,True,8,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
17,ADMIN001,admin,admin@hospital.com,Security,CN_HN,SecurityAdmin,False,Senior,FullTime,True,True,True,True,8,2026-01-14 15:02:31.276033,2026-01-14 15:02:31.276033
18,U0016,u0016,u0016@hospital.com,Phong_NhanSu,CN_HN,HR,False,Senior,FullTime,True,True,True,True,5,2026-01-15 21:19:51.089299,2026-01-15 21:19:51.089299
